,T,loss,theta,convergence,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,phi11,phi12,phi13,phi14,phi15,phi16,phi17,phi18,phi19,phi20,phi21,phi22,phi23,phi24,phi25,phi26,phi27,phi28,phi29,phi30,phi31,phi32,phi33,phi34,phi35,phi36,phi37,phi38,phi39,phi40,phi41,phi42,phi43,phi44,phi45,phi46,phi47,phi48,phi49,phi50,phi51,phi52,phi53,phi54,phi55,phi56,phi57,phi58,phi59,phi60,phi61,phi62,phi63,phi64,phi65,phi66,phi67,phi68,phi69,phi70,phi71,phi72,phi73,phi74,phi75,phi76,phi77,phi78,phi79,phi80,phi81,phi82,phi83,phi84,phi85,phi86,phi87,phi88,phi89,phi90,phi91,phi92,phi93,phi94,phi95,phi96,phi97,phi98,phi99,phi100,phi101,phi102,phi103,phi104,phi105,phi106,phi107,phi108,phi109,phi110,phi111,phi112,phi113,phi114,phi115,phi116,phi117,phi118,phi119,phi120,phi121,phi122,phi123,phi124,phi125,phi126,phi127,phi128,phi129,phi130,phi131,phi132,phi133,phi134,phi135,phi136,phi137,phi138,phi139,phi140,phi141,phi142,phi143,phi144,phi145,phi146,phi147,phi148,phi149,phi150,phi151,phi152,phi153,phi154,phi155,phi156,phi157,phi158,phi159,phi160,phi161,phi162,phi163,phi164,phi165,phi166,phi167,phi168,phi169,phi170,phi171,phi172,phi173,phi174,phi175,phi176,phi177,phi178,phi179,phi180,phi181,phi182,phi183,phi184,phi185,phi186,phi187,phi188,phi189,phi190,phi191,phi192,phi193,phi194,phi195,phi196,phi197,phi198,phi199,phi200,phi201,phi202,phi203,phi204,phi205,phi206,phi207,phi208,phi209,phi210,phi211,phi212,phi213,phi214,phi215,phi216,phi217,phi218,phi219,phi220,phi221,phi222,phi223,phi224,phi225,phi226,phi227,phi228,phi229,phi230,phi231,phi232,phi233,phi234,phi235,phi236,phi237,phi238,phi239,phi240,phi241,phi242,phi243,phi244,phi245,phi246,phi247,phi248,phi249,phi250,phi251,phi252,phi253,phi254,phi255,phi256,phi257,phi258,phi259,phi260,phi261,phi262,phi263,phi264,phi265,phi266,phi267,phi268,phi269,phi270,phi271,phi272,phi273,phi274,phi275,phi276,phi277,phi278,phi279,phi280,phi281,phi282,phi283,phi284,phi285,phi286,phi287,phi288,phi289,phi290,phi291,phi292,phi293,phi294,phi295,phi296,phi297,phi298,phi299,phi300,phi301,phi302,phi303,phi304,phi305,phi306,phi307,phi308,phi309,phi310,phi311,phi312,phi313,phi314,phi315,phi316,phi317,phi318,phi319,phi320,phi321,phi322,phi323,phi324,phi325,phi326,phi327,phi328,phi329,phi330,phi331,phi332,phi333,phi334,phi335,phi336,phi337,phi338,phi339,phi340,phi341,phi342,phi343,phi344,phi345,phi346,phi347,phi348,phi349,phi350,phi351,phi352,phi353,phi354,phi355,phi356,phi357,phi358,phi359,phi360,phi361,phi362,phi363,phi364,phi365,phi366,phi367,phi368,phi369,phi370,phi371,phi372,phi373,phi374,phi375,phi376,phi377,phi378,phi379,phi380,phi381,phi382,phi383,phi384,phi385,phi386,phi387,phi388,phi389,phi390,phi391,phi392,phi393,phi394,phi395,phi396,phi397,phi398,phi399
0,16.3,0.028046304770172448,3.5313010426422187,0.0,-3.654840445043752,-3.5075157250591174,-3.3614538907090887,-3.2171463015285076,-3.0750462271189822,-2.9355611562963486,-2.7990465988416386,-2.665803276095468,-8.819259636143077,-2.4100471952523157,-2.287854452910937,-2.169578369605642,-2.0552546961584657,-1.9448777210884662,-1.8384059115601494,-1.7357671487329798,-1.6368640781965558,-1.5415790566592693,-1.4497787623519605,-1.3613182895802078,-1.2760447389957317,-1.1938003678576217,-1.114425313810527,-1.0377598104086665,-0.9636459268228489,-0.8919289695854182,-0.8224586496740539,-0.7550899196930881,-0.6896836094090875,-0.6261068511956291,-6.847418630842961,-0.5039433893168933,-6.728309394530757,-0.387669100404299,-0.33147883986317395,-0.2764595801329255,-6.505708865987137,-0.16958952614709205,-6.400766717656607,-6.349614081803797,-0.016066176791146344,-6.249615885955981,0.08253271565797723,0.13087623376028937,0.17864968730569414,0.2258968488180857,-6.010525402196295,0.3189769579663915,0.36488350903874633,0.41041223819517647,-5.827591996605697,0.5004545391221452,0.545021560499186,0.589318003810301,0.6333656230083464,0.6771844683383373,-5.562392317989589,0.7642081766278316,0.8074456596148087,0.8505198274112628,-5.3897413951745685,0.9362300818656432,0.9788895227450022,-5.261752787853494,1.0638685264164638,1.1062062412156524,1.148453651237466,1.1906181107852687,-5.050478940928244,-5.008460678351259,1.3166786000346204,-4.924611786062397,-4.882771094332113,1.4422050637234163,1.4839501909068165,1.5256532947788064,1.567317714438237,1.6089471014948193,1.6505432551757147,-4.59107506301829,-4.5495355678279115,1.7751636072894894,1.8166543219225524,1.8581238784729595,1.8995738908893314,1.9410062483194899,-4.300763110709692,2.023822779868267,2.0652096068679,2.1065837511412697,2.1479460466037374,2.1892977132988767,2.2306395165087696,2.2719722614566695,-3.969888601138546,2.3546135260665992,2.3959233456917794,2.437226738600773,-3.804661076256301,2.5198163054489333,2.5611034044508543,2.6023859318162224,-3.639521048862871,2.684938721077909,2.726209631736177,-3.515708029069322,2.808741927125048,2.8500038266727965,-3.391922101976942,2.932520269087675,2.9737752094718504,3.0150282012104763,3.0562794051857143,3.0975289666965096,3.138777018499785,3.1800236887414077,-3.0619162141952736,3.2625133812210025,3.3037564301736215,-2.938186665224057,-2.8969452269765217,3.427480564161847,3.468720333636028,3.5099593143470194,-2.731988016514111,-2.6907495708951386,3.6336718987825884,-2.6082759907130386,3.716146762957766,3.7573807562144204,-2.4845678976791956,3.839852199272875,3.8810873538923407,3.9223218636541004,-2.3196290950466754,-2.2783949896684117,4.046024175285379,-2.195927431354432,-2.1546939197662924,4.169724742658662,-2.072227354918451,4.252191018815023,4.2934239771869445,4.334656814155233,4.3758895504430075,4.417122180981535,-1.8248306037364412,-1.7835982024387067,4.5408193696349395,-1.7011338045310047,-1.6599017854679707,-1.618669843758001,4.705747335409656,4.746979159635224,4.788210943886353,4.829442685537737,-1.4125109153963464,4.911906085868752,-1.3300475533060951,-1.2888159103867434,-1.247584282598404,-1.2063526844870118,5.118064347689607,5.159295834199998,-1.0826577781655813,5.241759115966302,5.282989873303273,-0.9589641106624,-0.9177305323061885,5.4066853020916525,-0.8352678636353873,5.489147469854273,5.530380171728488,-0.7115738723587276,5.612842000136781,5.654074440088088,-0.58787862757889,5.73653761385181,5.777769286236264,5.819000952464784,-0.42295290082845666,-0.3817212156366891,5.94269573903299,-0.2992579164813234,6.025159061528384,-0.2167945572500616,6.107622444356708,6.148854161436978,6.1900858998955055,-0.05186765654647173,-0.010635876612533617,6.313781206615146,6.35501296305312,6.396244536488815,0.1542906369610496,6.478707324766423,0.23675340820634952,0.27798481635886274,0.3192162472151556,6.643633006719117,0.4016791710971764,0.44291066446085514,6.767327496955863,0.5253737264182919,6.849790598281488,6.891022147451417,0.6490684675890674,0.6903000534712191,0.7315313531626102,0.7727628996649556,0.8139949753449242,0.8552281012702149,0.896458394468707,7.220875420523058,7.262106374712639,1.020153120107095,1.0613849188443913,1.1026160895440025,1.1438514407424434,1.1850798325329357,7.509497676676475,7.550728947924866,1.308776182607387,7.633193343495735,1.391239981317232,7.715656978966121,7.756888918481672,1.5149355502121944,1.5561674949546558,1.5973994592674143,1.6386314458988396,1.6798634562229962,1.7210954892233727,1.7623275446910869,1.8035596261707205,8.127977043259158,8.16920917930219,1.9272559974749417,1.9684880626889432,8.292905359210168,2.0509520451658214,2.092184073763441,2.133416157867307,8.457833601883229,8.49906580437204,2.2571127571618117,2.29834508215836,8.622762792624004,8.663995262221412,2.422042507171276,2.463275118466827,8.78769314943091,2.545740851445672,2.5869736567040738,8.911391927301333,2.6694398323621624,2.710672575303685,2.751906310977822,2.793140383267877,2.8343734437250454,2.875608701614296,9.200026568949083,9.24126048556187,2.999311005202981,9.323730020569716,3.0817802743302636,3.123015147074547,3.164250871119244,3.2054866551646226,3.246722802745263,3.287959417249023,3.3291964021267715,3.3704338495681516,3.411671788611066,3.452910264870964,9.777334632420944,9.818574329797073,3.576629413137534,9.90105586711067,3.659112530068017,3.7003553981270163,3.7415992457111216,3.782844162702346,3.8240902479667223,3.865337608809696,3.9065863600862882,3.9478366254006136,3.989088539597468,4.030342248074939,4.0715979097710715,4.112855698508092,4.154115800141869,4.1953784229275355,4.236643787685576,4.277912143170291,4.319183746980331,4.36045886376117,4.401737977058432,4.443021126959585,10.767494207735137,4.525601611094403,10.850085219226717,10.891389314507823,4.649514454977252,4.690831707288374,4.732157285543364,4.773490827607504,4.814832982032415,4.856185558670123,11.180733878200328,4.938923359297748,4.980310799625984,5.021712281033047,5.063128715021072,5.104561631434461,5.1460124318459135,11.470668049762228,11.512159594305443,5.270488963082188,5.312028820479271,5.3535961041997355,5.395193261474443,5.436822948732095,11.761673373292426,5.520191767375726,5.561937494917091,11.886914292843478,5.64557031141391,5.687465893831942,5.729420542494742,12.054624794209541,5.813528425940545,5.85569356642996,5.897941650191748,5.940280028203903,5.9827166915038035,6.0252603381300665,6.067920429499599,12.39389257354582,6.153632003557602,6.196706805010549,6.239945083149277,12.566546176638209,6.326970211703888,6.370789594639939,6.414838206702543,6.459134492085863,6.5037027475986795,6.548564791056354,6.593746215990893,6.639275717521418,6.685182778971185,6.731500542206545,6.77826401239159,6.825511961158891,6.873285602746052,6.921630037826792,6.9705937458619935,7.020229188855561,7.070592979109936,7.1217461630792185,7.173754493718408,7.226688736141412,7.280624924690705,7.335644675181631,7.391835423558989,7.449290708452747,7.508110360217096,13.851586026643702,7.630274725918687,7.6938520012495815,7.759258836424053,7.826628083350668,7.896098903794701,7.967816330752918,8.041930663540084,8.118596605887062,8.197972143989391,8.28021710388433,8.365491309152905,2.1707673167269674,8.545753520137303,2.3578538517769427,8.73994307432668,8.842582399308935,8.949054808457499,9.059432432837196,9.173756666313299,9.292033244628922,9.41422643206616,3.2570688360023436,9.669983495710966,9.80322736726035,3.6565570005985086,10.079228129931517,10.22132933224796,10.365638421203899,10.511701883661013,10.659028323470059
1,20.65,0.013018451586846225,2.921263740677908,0.0,12.51384991349734,6.002463045553016,12.060906390596184,11.841208794847146,11.627950678180769,11.422217940099292,11.22481170400072,4.753033962914445,10.856609452014052,16.969245675673175,10.524349292433227,10.371049832858569,10.225809774714426,16.37127120811806,9.957303694135716,9.833011014010468,9.714695456240813,9.601419373384852,9.492982991418108,15.672024021212641,9.288633102241121,9.191810305324024,9.09805985872358,9.00702033472865,8.918397396921687,8.831894268140724,15.030469335160046,8.66431656464204,8.582830738129545,8.50262258181727,8.423551691225635,14.62870706049304,8.268368554693724,8.191949136502446,8.116162078269669,8.041047796061868,14.249610846194393,14.175513201909633,7.8184819393127265,14.028317500781741,7.672027083179913,13.882422466512628,7.526720023595917,7.45419954939103,7.3820803024560995,7.3100227277225995,7.238108525911416,13.449551225045035,7.0946915735256315,13.306316524823567,6.951638604973851,13.163407589127994,13.092050055455243,13.020750183757068,6.666313225956168,12.878292079445796,12.80713505479952,6.452801362384748,12.664879800858024,6.310599607986902,6.2395379715251025,6.168507298834988,6.097520098328686,6.026502340820043,12.238619612990314,5.884466767859191,5.81358029181144,5.742418379437275,11.954781912820456,11.883803276347127,5.529645578840463,5.458708625280171,5.387915677200006,11.59993803342673,5.245939507137422,11.458191669930777,11.387207086632229,5.0331618859072975,11.245374779016931,4.891282612148558,11.103556277354837,11.03262464262466,4.678534294133302,4.607618953653179,4.536704822737875,10.748971682103113,10.678053500672288,10.607140419654352,10.5362336762776,10.465317568338325,10.394406504278708,10.323500764566665,10.252602522688536,3.8984799324902775,10.110801761952503,10.039807082455368,9.968876882613154,9.897965374323,9.827265965565934,9.7561811755142,9.68536174122422,9.614412929581876,3.2603263282766846,9.47253989528788,9.401660024650772,9.33070258895207,9.259805672917581,2.905721299339872,9.118045202586162,9.047149070170738,8.976208865341272,8.90531050499424,8.834394610504283,8.763484407995586,8.692576453714855,2.338467926133381,8.550758622437897,8.47984518906965,8.408936667186856,8.33802389434291,8.267123064010377,8.196208138944275,8.125273045930628,8.054415493215998,7.983474364712136,7.912611061809878,7.841568005165825,7.7708510301460265,7.699808913196146,7.628891932669565,7.558019769950476,1.2040250383801623,7.416123449566897,7.345294751237934,7.274313824470933,7.203634757396767,7.132605256692389,7.061622168352538,6.990752833224708,6.9197939988994275,6.8489565032130155,6.778040791522518,6.707116140915791,6.636211454673686,6.565309087680732,6.494395673522199,6.42348728057509,6.3525773659165985,6.28166947644874,6.210760842698435,6.139860043877016,6.068932822180115,5.998036569867805,5.927147728117266,5.856223614756776,5.785279292643555,5.71439218238582,5.643413973219454,5.572583319424441,5.501734230670182,5.430723335757181,5.359919655101072,5.288963356199701,5.217918780144043,5.147254430105579,5.076238208002379,11.288521943069854,4.934385478644191,4.863377162037961,4.792574825729331,4.721715923075695,4.650779684305897,4.5798679509568165,4.508958220602898,4.438044106721869,4.367139402160184,4.296229870534806,4.225307728455009,4.15440870233356,4.083508119165269,4.012577903349948,10.224861463634625,10.153976473797721,3.799861036862298,3.728965903749199,3.658033382778815,3.587132002626648,3.5162121654869134,3.4453539637235293,3.374433984230083,3.3034979525325383,3.2325247474754044,3.161761711403178,9.373887825070385,3.0198908685039405,2.9490591013930474,2.8780326461725485,2.807156376348565,2.7361718288732977,2.665347527909421,2.594395340706961,8.806692958592244,2.4526012402605892,2.381703217207881,2.3107863591584668,2.2398689979790527,2.168963404036669,2.098054501450304,2.0271475575965168,8.239441661425266,1.8853323209645225,1.8144202388862682,1.7435147476768293,1.6726117177331863,1.6017024481232778,1.5307624910167534,1.4598732810903057,1.3889487076937967,1.3180975201219443,7.530330111247772,7.45941789662359,1.1053407395121013,1.0344426303476097,0.9634747164370873,0.8926288139788537,0.8217649320376335,0.7507511205983979,0.6798446691037423,0.6090022344380426,6.821239778056263,0.4671459307908153,0.396247888234847,0.3253390936434267,6.53760849047559,0.18350595163446404,6.395797017145258,0.04168838846368854,-0.029214029066727057,6.183082776597868,-0.17103209077153908,6.041261655490178,-0.3128508296879049,-0.3837552956288712,-0.4546693744746554,5.757632599534136,-0.5964901816232125,5.615794943007354,-0.7382956541626832,-0.8091757017308279,5.403039473829703,-0.9510605373840441,-1.0218934979357022,-1.092843310241817,-1.1637501157744257,-1.2346535437124764,-1.3055452568327737,-1.376501185495386,-1.4474428457121058,-1.5182869882161607,-1.5891841958159239,-1.660188303819813,-1.730950850445682,-1.8019076172443966,4.4103039436669444,4.339450597474664,4.268528026869135,-2.0855726189532366,-2.1564832675024324,4.0558075700314635,-2.298302246787313,3.9139813127950434,3.8430664182246566,3.7721642114277483,3.7012599617511985,3.6303498956239126,-2.723755618667586,-2.7946668107301833,-2.865534689476094,-2.9364855733838278,-3.0074026484350824,-3.078293021888005,3.133971234204888,-3.220107271499007,-3.291014430474297,-3.361891472846426,2.850356720450048,-3.5038242087550353,-3.5746167728981324,-3.645605790216186,-3.716428328092331,2.495777087533833,-3.8582640433389503,-3.929199374931962,2.2830714024225096,-4.071024594738193,-4.141921387053225,-4.212839423363465,1.9994341797065391,1.9285310309867878,-4.425565392552054,-4.496478523658318,1.715814719094313,-4.638295250122403,-4.709205954413662,1.5030718840557977,-4.851035910571004,1.3612455519014939,1.2903397144191757,-5.063743348513843,1.1485271361141471,1.0775895418544772,-5.276535382523988,-5.347399757493423,0.86483328302221,0.7939996625130888,0.7231032245523094,0.6521549496083813,0.581100485016185,0.5102846122939495,0.43939079018659016,0.3684256368953689,-5.985651786900834,-6.056560913556051,-6.127520045525791,-6.19847919369832,0.013807683114045406,-6.340307437696607,-0.12806442560161882,-0.1990154888440279,-6.55313868870272,-0.3409327725352999,-0.4118689984624199,-0.4828278677558201,-0.5538323446344455,-6.90800546236129,-6.979002837794721,-0.7668296612402055,-0.8378552585182912,-7.1921087499006315,-7.263099771787448,-1.0510538525968292,-1.122124228447441,-1.1932770069530485,-7.547635821286785,-7.618886383623339,-1.406916110723392,-1.4781831558282814,-7.832738664341415,-7.9041799803472665,-7.975742446881371,-8.047157644787937,-8.118919611162198,-8.190631011012762,-1.9793741148717354,-8.334615290983267,-8.40678287056867,-8.479173266219146,-2.2685648794947855,-2.341384276458788,-2.414481033393384,-8.771083313459332,-8.844824308936657,-2.635793020224599,-8.993587601424199,-9.068728746930084,-9.144457781810369,-2.9376860865752135,9.55149887277986,-9.37609052218055,-9.455223576737605,-9.535373775231868,-3.33373715165774,-3.416588613668722,-3.5011629146834315,-3.5878178247816193,-9.959562690645987,-3.7674099356859476,-3.8611169660221067,-3.9580545915689074,-4.0582976980023435,-10.445558104639145,-10.553958514931576,-4.383868852064369,-4.502424377453878,-4.6267584130913715,-4.757483826872526,-4.895197518939875,-5.040415429811571,-11.476870593595367,-11.638616167847632,-11.80918284273031,-5.705564801894649,-5.89418734986212,-6.091532685282467,-12.580614657686647,-6.510596295926183,-13.013411909192826,-6.955085575500445,-13.466449594214735
2,25.0,0.006378954609492893,3.025974744484754,0.0,15.903496406307855,21.791109225277022,15.147783220383175,21.10875339103055,14.539608834629082,20.568725196393036,20.343415866856084,20.14099005675106,19.957362309003496,19.79208188904631,13.352211017125871,19.491575318533393,19.35401476003778,19.2233182439373,19.096995827811753,18.975123031824843,18.855357017713217,12.454650371238545,12.338439033299805,18.507657434361455,12.111122242758762,18.281772562989623,11.886866605407205,11.775061627993791,17.947668641199964,17.83708695960719,17.726637175608435,17.615134181393767,11.22242334925092,17.395658878423923,17.28635251283962,17.17531915812383,17.0661705626284,10.673257391416278,16.84552059341856,10.453184896104263,10.34364488385208,10.233295658396033,16.40678869051422,16.29712779239618,16.18768200387186,16.07761430528246,15.96800330836019,3.291837804084791,15.748334434906349,15.638588438958372,15.529194209000647,15.419243310941988,15.308968266154391,15.199859127869336,15.090261928028273,14.980501706391761,14.870356246105242,14.760927899835533,14.651133713935918,14.540359847152084,14.431632994391999,14.321946996278012,14.211616283124473,14.102409119128723,13.992589157382966,13.883318844374191,13.772954197265518,13.663256848841042,13.553550004518751,13.443733859434222,13.333969422248298,13.224306389321255,13.11459290175803,13.004635172216442,12.89467125214745,12.785866114617031,12.675617823098566,6.282672129652321,12.45593975060498,12.346714121946757,12.236234665074642,12.126324439858914,5.734004743236514,11.90761847566437,11.79732973454775,11.687841971731205,11.578147466561058,11.46859025388236,11.358015273267528,11.248616976149785,11.13910705939983,11.029430243650255,10.9195780673662,10.809651751525042,10.700189124677534,10.590518812872583,10.480230436339198,10.370435493298695,10.26072599216331,10.149992478730415,10.042218065300615,9.932802542210581,9.82134437452469,9.712479150357426,9.601702657567017,-3.073142270927789,9.383106393733598,2.9894263127238343,9.162698343374029,9.05347677008133,8.94410533132356,8.8342547487038,8.724338168648018,8.614652215710903,8.504630226283554,8.394912916085406,8.285026132149886,8.17531919090543,8.065758404543233,7.955742117544456,7.846820073365666,7.735904620869867,7.626755802369312,7.516802401465379,7.4063221567735065,7.298038085288206,7.187082135706955,13.360580086633568,6.968695718693906,6.857855102547509,6.748152090801716,6.6393883009783545,6.52885115961705,6.419084312724015,6.309015747240648,6.199548261354931,6.089862077974205,5.980034118354184,5.870178880628705,5.760757326664557,5.6505173122497006,5.541058001439076,5.431229999096335,11.604475486069193,5.211409104036106,5.102029921680903,4.992390142218181,4.882177435475063,4.772563615934465,4.662527618529118,4.552957436449988,4.443353934370419,4.333646183725147,4.223364819222334,4.113606808633216,10.287256158989848,3.894647537435297,3.7848098137787045,3.674597149657221,3.565236104403702,3.4550495268152113,9.628765096706918,3.2361469382981807,3.125867622541552,9.29935488792541,2.9062425042202014,9.079070030585672,2.6862976724209413,2.578065019648609,8.750511969047357,8.641129612927113,2.2476408169933273,2.137838007822529,8.31245166174415,1.9176382025192755,8.09170620760698,1.6985994955521535,7.872410595489609,1.4794709512363788,1.369617277224932,1.2600800273991621,1.1502905463941353,1.0398436728395977,0.9307119215055802,7.104032981015114,0.7104986982815878,0.6020835887034146,0.490919193686094,0.3827978057996857,6.55476580110697,0.16145303377660772,6.335636912352202,-0.05707057017006344,6.116298355774098,-0.2769587456648097,-0.38666024461194354,-0.4963504504510025,-0.6058320852093055,5.567339485330865,-0.8256414007267155,5.34779811456445,5.237792927431757,5.128444147545713,5.018512654591308,-1.3743481358915233,4.7989908325713815,-1.5938689113077187,-1.703514678217495,-1.8135850334820756,-1.9231261810118983,4.2506225507210145,4.139988496836766,-2.252621103622547,-2.362433068176094,3.811966331202067,3.7013169195757185,-2.690999724567806,-2.8013102441580147,3.37261909661035,3.26262406686407,-3.1306047870198475,-3.240197810704718,2.9332874036587495,-3.4595088297815924,2.7138842672179275,2.6039408281191228,-3.78886603527115,-3.898595070032153,2.274926077995402,-4.118194895107004,-4.227485057047172,1.9452955904461293,1.8360110430538992,1.726329871069486,1.6165907712533398,-4.776777909429806,-4.8863185379163605,1.2872023863248212,-5.105506161584694,1.0678847131837927,0.9572919885878794,0.8491425338151357,0.7378440666879176,-5.654010609397152,0.5190443655347937,0.40920527557556924,-5.9836658008656745,0.18975481106613026,0.08007303756292908,-0.029842075116114877,6.143837131990773,-0.24926984970551286,-0.35888817539234835,-6.751664299774073,-6.8615117660184035,-0.6879651633650636,-0.7982010643270049,-7.190521899562525,-7.30002712456334,-1.1269917414217814,5.045380977711151,-1.3467754265012528,-1.456267210123912,-1.5656681976590532,-1.6755783267726834,-1.7851122325206992,-1.8955968193075288,-2.0053175639338674,-2.1146258445162154,-2.2246037760201096,-2.3342725920564833,-2.4438153919021217,-2.5540767502449517,-2.6636417674097674,-2.773340206893659,-2.8834029997466666,-2.9914032803218022,3.179889451582308,-3.2123388804755573,-3.3222908213611673,2.852275043500432,2.7409957618426377,-3.6506567645120303,2.522235639109006,2.4117201053183117,-3.9804648429973173,2.193211529853937,2.083126654372202,1.9734575840273223,1.8634397514583574,-4.529140993590317,1.6441716868557434,-4.748963069855545,1.4246182943459402,-4.968361609372778,1.2049831953497379,1.0954911815759911,0.9853521325383117,0.8758162158079508,-5.516976332807802,-5.626646997951997,0.5462548715047496,-5.84662315070133,-5.9561224213994715,-6.065824701316017,0.10803898092382098,-0.002534177752014654,-6.395361270184667,-0.22178791570339998,-0.3323241384554166,-0.44066068282898374,-6.834345083635365,-6.944047700320417,-0.7708212541658321,-0.8802954399066725,-7.273405334780395,-7.383129714699923,-1.209283186254992,-1.3195280578939583,-1.4292990475019056,-1.539224718404192,-1.6491973517460496,-1.7581232249992922,-1.8683335797510168,-1.9778017942496962,-8.371075458744988,-8.481108494389058,-8.59008894491894,-2.417314855254928,-2.526877730630886,-2.6366485235695563,-9.029379467852825,-2.8564492196114544,-2.966245537273079,-9.358854045811318,-3.185462761453149,-9.57833411242278,-3.4050519466688414,-3.5148225422769777,-3.6247966237331632,-3.7341840591551225,-3.8441797653977448,-3.9534505528325834,-10.346849873420645,-4.173615503869178,-4.282851534710805,-4.393385540704192,1.7805725881126628,-4.612097636976309,-4.722393160189714,-4.832281717535501,-4.941626972287476,-5.051160819976603,-5.161205960876798,-5.271555171220873,-5.3806281351730165,-5.490541405333237,-5.600201262251168,-11.993261129586468,-5.819957932786116,-5.929808841247987,-12.322846859886468,-6.1490247001604725,-6.258774125545265,-6.368685073869035,-12.761944833296184,-6.588941322610874,-6.697614537035715,-6.808082112421589,-6.917855055644127,-7.027723767409191,-7.137780080179174,-7.247189751983851,-7.357505685535934,-7.468057299818668,-7.5786399424378885,-7.688242205342744,-7.799019822970291,-7.909534600240057,-8.020689179348114,-1.8487319360459564,-1.9605125458244932,-8.35636355696962,-8.469698653255344,-8.584313830508373,10.149530419770509,-8.817527168144343,-8.936661872545152,-9.059651027514988,-9.185509165690524,-9.316152740291077,-9.45363534867551,-9.598721360525419,-9.753355145005818,-9.92104978628962,-10.103006346270517,-10.305067779491818,-10.530760398916872,-10.784745471241939,-11.071349831993928,-11.393597843857572,-11.753849244095665,-12.149056233249427
