T,Loss
0.000,0.40000
1.034,0.05483
2.069,0.57409
3.103,0.30263
4.138,0.01119
5.172,0.48920
6.207,0.59660
7.241,0.55594
8.276,0.11066
9.310,0.00458
10.345,0.21554
11.379,0.59795
12.414,0.75095
13.448,0.29286
14.483,0.57967
15.517,0.28883
16.552,0.01477
17.586,0.15415
18.621,0.00397
19.655,0.47985
20.690,0.80006
21.724,0.83378
22.759,0.60221
23.793,0.72838
24.828,0.17124
25.862,0.87506
26.897,0.83102
27.931,0.78556
28.966,0.59891
30.000,0.19937
