T,loss,theta,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,phi11,phi12,phi13,phi14,phi15,phi16,phi17,phi18,phi19,phi20,phi21,phi22,phi23,phi24,phi25,phi26,phi27,phi28,phi29,phi30,phi31,phi32,phi33,phi34,phi35,phi36,phi37,phi38,phi39,phi40,phi41,phi42,phi43,phi44,phi45,phi46,phi47,phi48,phi49,phi50,phi51,phi52,phi53,phi54,phi55,phi56,phi57,phi58,phi59,phi60,phi61,phi62,phi63,phi64,phi65,phi66,phi67,phi68,phi69,phi70,phi71,phi72,phi73,phi74,phi75,phi76,phi77,phi78,phi79,phi80,phi81,phi82,phi83,phi84,phi85,phi86,phi87,phi88,phi89,phi90,phi91,phi92,phi93,phi94,phi95,phi96,phi97,phi98,phi99
7.5,0.0006858052405488424,2.174268319803956,3.8481140733292833,3.8533103934059554,3.863606265923685,3.8788616032966488,-2.384286698463018,3.923502085418885,-2.3307654436586245,-2.297821850618654,4.022009063008032,4.061999021765236,-2.1782414924989015,-2.132760623505154,-2.0851884106859337,4.247193655500419,4.297530601321779,4.348510821348105,-1.8835550712519553,4.450383206427148,4.500268192149357,-1.7343920278983525,4.595481415017457,4.639875202663426,-1.6016441607434841,4.72007327442452,4.755096110830313,4.786267010275049,4.813277904192428,-1.4473287677317666,4.853767310603297,4.866811798859641,4.874829132652218,-1.4054890294068758,4.875328349765603,4.867679019481247,-1.4284442517290954,4.836547015641356,4.813170067712557,4.784724882775116,-1.5318167923672228,-1.5698841587228403,4.670766574210088,4.624052235016784,4.57348868390134,4.519448301324895,4.462343144361157,4.402621837860903,4.34076546897551,4.277282507457682,4.2127028400629625,4.147571071876154,4.082439303689352,4.017859636294639,3.9543766747768148,3.8925203058914164,3.8327989993911586,3.7756938424274304,3.7216534598509856,3.6710899087355346,3.6243755695422193,3.58184099529557,3.5437736289399484,3.5104172609771993,3.4819720760397677,3.4585951281109697,3.4404010883018317,3.42746312427107,3.4198137939867093,3.4174458659796,3.420313011100098,9.711515652072238,3.4413748331490313,3.459285604304509,3.48186423955989,3.508875133477269,3.540046032921993,3.5750688693277923,3.6136009973162095,3.655266941088896,3.6996607287348695,3.7463488644710883,3.794873951602972,3.8447589373251843,3.89551190782469,3.946631322404211,3.9976115424305463,4.047948488251888,4.097145247258657,4.144717460077895,4.190198329071645,-2.0500421851925044,4.273133080744287,4.309778687191403,4.342722280231362,4.371640058333437,4.3962435350357545,4.416280540455666,10.714721185008194,4.441831750346363,4.447028070423035
7.502020202020202,0.000661458585261343,2.1741136852193255,-1.141671278739988,5.1467106418178075,5.157007165538483,5.17226357689488,-1.0908831699006163,-1.0662776060990178,-1.0373571664998447,5.278775004920465,-0.9677607899085006,-0.9277662747270293,-0.8848162692782049,5.443855771005217,5.491434484744347,-0.742546950342689,-0.6922023132159865,-0.6412138659721721,5.69309956944625,-0.5393236223306884,-0.48942911972238057,5.842291101814611,-0.39419599425782625,-0.34979194415978543,5.975069697979164,-0.26957301553948126,6.048645619189319,-0.20335831484936578,6.1068483062503285,-0.15374802863964526,-0.13582702568432756,-0.12277242631286257,6.168440196073784,-0.11186811740508548,6.168958979599469,-0.12186606423228555,-0.1347945486253645,6.130206097387502,-0.17634686511490522,6.078402479776429,-0.23813002630252772,6.006997045930461,-0.31871372693650235,-0.36541896735093965,-0.41597341859047143,5.813180615308726,5.756084582651605,-0.5868128889194928,5.634525209441349,-0.7121338834339713,5.506480943807359,5.4413583692448215,-0.9069495124976537,5.3116653147411075,5.248191529047437,-1.0968409869502371,-1.1565531513415728,5.069536123178239,5.015504849900213,-1.3182349085189806,4.918245158245942,4.8757196925569035,4.837661457613653,-1.4788710484654628,4.775878296422497,4.752510641102856,-1.548859327243025,4.721397495541759,-1.5694275482885376,4.711399548716332,4.714276542416867,4.722303857623541,4.735358456996338,-1.5299058472284772,4.775868432241224,4.802889746160714,4.834071119302281,4.869104446850722,4.907647040512398,-1.3338619317087603,4.9937274255690705,5.040425636675741,5.08896055103315,5.138855053635071,5.189617169042567,5.240745297280952,5.291733744523682,5.342078381649054,-0.8919030534419922,5.438860967479326,5.484347700582535,-0.7558876011527369,5.567292221174746,5.603941733547725,-0.6462967094209339,5.665809037632885,5.690414601196377,-0.5727321456014682,5.725709572935666,5.736006096655957,5.741202710032207
7.504040404040404,0.0006375446823945197,4.109225900995086,8.824897333633949,8.819700428310474,2.5262179488490646,2.510960467366501,2.4909203570158303,8.749498019816178,2.437389617987279,2.4044394904628255,8.650971387957153,2.327787018499853,8.568017117495142,8.52252453048655,2.1917540191307046,2.1425430446116533,2.092190726873877,2.041194063013921,8.273242538685325,1.9392859812479237,1.8893819713836806,8.124022546048973,1.7941289608133544,1.7497146559472856,1.7080279366668831,7.952660190487206,1.6344310696317825,1.6032392267968285,7.859392802989179,7.836793495489683,7.818862261407933,7.805797550404543,1.5145749448681487,1.5116880996019364,1.5140365876839772,1.5216667251429146,1.5345857230311204,7.835946304537326,1.576119350541729,1.6045460793305144,7.921069404175528,7.9591184942491635,8.001634836670167,1.7651456552169005,8.098876296725539,1.8697131354519922,1.926800024804067,1.986503027272052,8.33152636271969,2.111805644417296,2.1763669155497425,8.524665582142692,2.306593634376774,2.3711549055091536,2.4346194943863413,2.496457522654481,2.5561605251224635,2.613247414474509,2.6672695603805567,2.7178148947096403,2.764511020435928,2.807027362856908,2.845076452930465,2.87841447059606,2.906841199384824,2.930199552568797,2.9483748268954915,-3.321891482395952,2.9689239622426356,2.9712724503246326,2.968385605058471,2.960348306701655,2.9472835956982895,2.929352361616528,2.9067530541170323,2.8797213231298793,2.8485294802949186,2.813485666619042,2.7749326132597982,2.733245893979349,2.688831589113302,2.6421233110572477,2.5935785785429557,2.543674568678688,2.4929033184208547,2.4417664869124023,2.3907698230526777,2.3404175053146785,2.29120653079572,2.243621326619405,2.1981287396106928,2.1551735314264895,2.1151744691483763,2.078521059463026,2.045570931938704,8.299833144466334,1.9920401929099791,1.9720000825582698,1.9567426010707745,1.946445428794046,1.94124852348826
7.506060606060606,0.0006140639499502276,-2.173805482842012,5.165814268865148,5.160617073067738,5.150319254771724,5.135060706980302,5.115019057634177,11.373594648357033,11.344668878967553,5.0285302073071785,11.275058216244254,4.951869308697526,11.192094214777493,4.863410476707679,4.815818792519516,4.766600726249743,4.716240738648877,4.665235868511905,4.614090344065999,4.563309968979131,4.513396461413508,4.464841919770215,4.418123583143955,4.373699031174611,-1.951183372793972,4.293438427274386,4.258384132447877,4.227181823885889,4.200139678742017,-2.105655269350913,-2.123596733900682,-2.136671556994586,4.138466466903281,4.135569767013791,-2.145276778422774,4.145529061438898,4.158438565945608,-2.1065808619388156,4.199953486750699,4.228370971207136,4.26169979545378,4.2997397272052496,4.342246931702685,4.388933926811227,-1.8437151799200902,4.493483127692737,4.550560854755667,4.610254675539173,4.672083502769542,4.735538873857669,4.800090914889147,-1.4179902695265971,4.930299160398315,4.994851201457459,-1.2248787346830314,5.1201353997577295,5.1798292205111265,-1.0462783595569012,5.290919948057393,-0.9417291586508535,-0.8950421635642304,5.430650348060621,5.468690279817313,-0.7811662030979127,5.5304365885452285,-0.7293996770751723,5.5719515093384855,-0.6983242933187511,-0.6907037606391774,5.594820308274568,5.5919236084381,-0.699308981989872,-0.7123838051512617,5.552860037451793,5.530250396555632,-0.7799770557281249,-0.8111793643183833,5.436951648082562,-0.8847971662574378,5.356691044155131,-0.9709188150068421,5.265548155555555,-1.0661916932314366,5.167080106378535,5.116299731296053,-1.2180311002593407,5.014149336961829,-1.3193959578450514,-1.368614024167529,4.866979598788566,-1.4617041390779748,4.778520766892426,4.738517166714147,4.701859868307564,4.66890648530742,-1.6432045642212132,4.615371023690956,-1.6878559387074805,4.58007082059419,-1.7134123047026963,-1.718609500707839
7.508080808080808,0.0005910168050659026,4.10953339165238,2.6365201313844264,2.6313226462212613,2.621024184755959,8.888949881718847,8.868906686370694,2.5611095912504167,2.5321812079915063,2.499224577344963,2.462563398800616,2.4225552699594,2.3795896855627645,8.61727072820492,2.286487267560124,8.520447427189255,8.47007978010797,2.1358814075647548,8.367912507779339,2.033937710648068,1.984014714997499,8.218635680395112,8.171907293574773,1.8442871949170192,8.085765034647096,8.047191079696088,8.012126308700532,1.6977282311973299,7.953860981964223,1.6480557022481337,1.6301040078477098,7.900204379141481,7.892147109213385,1.6060552446261,1.6083842757008324,7.899180505252236,1.6288952023142864,1.6470516783626832,1.6703913986949699,1.6987996279278732,1.7321192466425852,1.770150006635669,8.095833365615174,1.8593259071242694,1.9098529566009737,1.9638567936282816,2.020925339437881,2.0806099587169427,2.1424295645415716,2.2058756968929654,2.270418486481897,2.335513351131327,2.400608215782989,2.4651510053705237,2.5285971377228393,2.590416743546521,2.650101362826739,2.707169908637673,2.7611737456638115,2.8117007951403012,2.858378643827613,2.900876695630408,2.9389074556206745,2.972227074335384,3.0006353035691,3.0239750239005536,3.0421314999493667,3.055031504190944,3.0626424265663172,3.06497145763769,3.062064900230133,3.054007630301447,3.040922694416408,3.022971000018331,3.0003510274786596,2.97329847106671,2.942085700744875,2.9070209297510328,2.8684469747981383,2.826739507350391,2.7823047158716254,2.7355763290507826,2.687011987295516,2.637088991624827,2.586299501715184,2.535145294705117,2.4841322292876544,2.433764582267133,2.3845394347261273,2.3369412810389405,2.29143701671805,2.248471432327569,2.2084633034755727,2.171802124925433,2.1388454942787667,2.109917111017172,2.085305323079685,2.065262127729359,2.0500025175424135,2.0397040560489073,2.0345065708822903
7.51010101010101,0.0005684036640054568,4.10968660288834,2.8602377629725955,2.855039989905172,9.12792619492715,9.112665526145808,2.8094354885699375,2.784821637863126,9.039075927909643,2.722930750240292,2.6862657000967207,2.646253051760106,8.886467601033088,8.840957513248641,2.510167593251314,2.4609353750621863,2.4105600793101667,2.359538828888343,2.308375949582828,2.257577354806368,2.2076448805258657,2.1590707476212736,2.1123323189190817,2.067887295536502,2.0261694641779733,1.9875850672682323,1.9525098250292445,8.20447190403786,1.8942236320393162,1.8715933296297582,1.85363140599634,1.8405363568220514,1.83246909844129,1.8295526804320585,1.8318719765668474,1.839473283029259,1.8523637801220347,1.8705108447274985,8.177026541522547,1.9222401975329713,1.9555505985439745,1.993572173342712,2.0360610578198215,2.082729744189465,2.1332476257576607,2.187242281316765,8.527486934119947,2.3039770250022733,8.648972696162472,2.4292242616808677,2.4937577785883898,2.5588433636829655,2.6239289487755113,2.6884624656789624,2.751899338380606,2.8137097023569653,2.8733851004229027,2.930444446045991,2.984439101606158,3.0349569831763534,3.081625669545377,3.1241145540222433,3.162136128819585,3.1954465298314894,3.223845493020732,3.2471758826384156,3.2653229472451737,3.278213444336923,3.2858147507991347,3.288134046936052,3.2852176289266017,3.277150370545408,-3.019129985809184,-3.0370919094417834,3.223463095329518,3.1964001305093146,3.1651769023374063,3.1301016600996623,3.0915172631902963,-3.233385875341955,3.005354408440496,2.9586159797436964,2.910041846841525,2.8601093725598496,2.8093107777821666,2.7581478984765706,2.707126648050653,2.6567513523017623,2.6075191340967527,2.5599145212855583,2.5144044335012588,2.4714336755956814,2.4314210272587813,2.3947559771067604,2.3617961066118647,2.3328650894728558,2.3082512387660157,2.288206508328034,2.272945839566859,-4.0205385694324285,2.257448964362586
7.512121212121212,0.0005462249421117615,2.1733458493969855,4.300742458311379,4.305940214658728,-1.9669444807854939,-1.9516833693940494,4.35154822503105,4.37616414988504,-1.8780875110308501,-1.8451244054819798,-1.8084554878797703,4.514746885494625,4.557722891771918,-1.6799465060438385,-1.632335345153174,4.700089117572505,4.750472074483286,-1.481683803408302,-1.430512262132104,-1.3797045730699238,4.953422680571986,5.002006594051944,-1.2344302455947982,5.0932103056615885,5.134938493163339,5.173533327631379,5.208619035677175,-1.0433325503682422,5.266926089133196,-0.9936185883474093,-0.9756464399751489,-0.96254127133312,5.3287212840901494,5.331647560683257,5.32933800887323,5.321746323820594,5.30886534062197,5.290727695378372,-1.015778661220251,-1.0441683471531051,5.205715788631313,-1.115481894178319,5.125223706691373,5.078564201874801,5.028055504211527,-1.309115259659833,-1.3661653847629034,4.857353762130505,4.795552663587532,-1.5510602365035586,4.66760084722918,4.602524562997737,4.537448278688789,-1.810261250840014,4.40949646497687,4.347695362036299,4.288029206515414,4.2309790780098275,4.176993623259883,4.126484925031718,4.079825419044578,-2.2458395914242613,3.9993333396166064,3.966032168072742,3.937642480638903,3.9143214332675553,3.896183787082758,3.883302803849626,3.8757111201280323,-2.409783747227042,3.876327840330476,3.8844050938664614,3.897510255896688,3.915482404669081,3.938123039263437,3.9651964100285433,3.996430092033573,4.031515799254701,4.07011063403746,4.111838821368519,4.156294070389489,4.203042532462816,4.251626447733986,4.301568391971682,-1.930809222477789,4.403547623677017,4.454577048100428,4.504959988730259,4.554199266234365,4.601810328954994,4.64732622719217,4.690302155054306,4.730319155893106,4.766988226527588,4.799951324091085,4.828884972320812,4.853500885014129,4.873547133350235,4.888808863016308,4.899108602135103,4.904306660558543
7.514141414141414,0.0005244810539060119,2.1731933509252195,-0.5843633542006229,-0.5791650093609297,-0.5688646337506454,-0.5536018592487494,-0.5335540735938229,-0.5089361153086175,-0.4799998512360447,-0.4470335243955864,-0.4103607566474265,-0.37033909682419835,-0.32735802094130967,6.001348990678824,-0.23421881652161783,-0.18497248860926466,-0.13458192706747465,6.1996409691529415,6.250821162300934,0.01845262987889869,0.06840403295382218,0.11699772137751238,0.16375620899566526,0.20822167355001903,0.24996021253126388,0.2885654758142696,0.3236616458600625,6.6380910852470105,0.38198955121771816,0.4046405081966244,6.705808195725511,0.4357381660794316,0.44382540678270627,0.44676155512465066,6.727647048964566,6.7200649910930865,6.707193528978838,0.4058800046951782,6.665753612257052,6.637373213676537,0.3208959773140694,6.566078120331537,0.24042230729523364,6.476957300269251,6.426457805381221,0.08929625953185531,6.315440678187502,-0.027401525489367404,6.193991962505022,6.130573671751143,-0.21712654328000938,6.000991802134923,-0.3472604668224373,5.871409932463603,-0.4751936654301705,5.746199822576509,5.68654292606613,5.629502037541964,5.575525798872133,5.525026303986677,-0.804809317401695,-0.847279823258342,5.3979023197588685,5.3646103905762414,5.3362299919953715,-0.9702670148020848,5.294790075273478,5.2819186131590925,-1.0088487518918055,5.272036741947813,-1.0082124168898312,5.283060130992968,-0.9870098986530743,5.314157788875781,5.336808745854363,5.363892519005205,5.395136651212316,5.430232821258126,-0.8143472226383487,5.510576623522417,-0.7281432191026425,5.601800575694937,5.6503942641186296,-0.5828396399858882,5.751162441951186,5.80234263509921,5.853380224140569,5.903770785682244,5.953017113594263,6.000634613573336,6.0461563180111915,6.089137393896831,6.1291590537200555,-0.11735348571046883,-0.084387158870979,-0.05545089479812976,6.252352370666498,6.27240015632157,6.287662930823058,6.297963306433419,0.01997634409525097
7.516161616161616,0.0005031724130378779,4.11014409800011,1.9108271433784227,1.9056285146613376,1.8953275062464396,8.16324899157864,1.8600143787314607,8.118579682845644,8.089640805613962,1.7734859550386648,8.019994648426303,7.979968496549779,1.653796968974608,7.891454778463538,1.5606455432220243,1.5113921761777571,7.7441793046968215,1.4099482547978075,1.3587594200393174,7.591118877283126,1.2579727167769164,7.492554571097823,7.445786066379048,7.40131039249571,7.359561509740524,7.320945821979801,1.0026538881361842,0.9713993096881822,0.9443051365664021,0.9216438548461986,0.9036512469722721,0.8905258543300041,0.8824286197274512,7.162667908807564,7.164957974268969,7.172530399442241,7.185392333719165,0.9203258075807672,7.226813455094026,0.9719992479407357,1.0052819230123877,7.326461168929071,1.085737156336534,7.415563567908767,1.182868536875954,1.236835540164453,7.577052479002792,1.3535147880285072,1.4152973043065264,1.4787062728198812,1.5432118443608105,1.6082694624215197,1.673327080480528,1.7378326520246172,1.8012416205347686,1.863024136812425,1.9226717530194706,1.979703384676637,2.0336703879661626,2.0841606641123573,2.130801768504616,2.1732630630924863,8.494442309008344,2.244539676899787,8.55609608410659,8.579398424440697,2.3143318983010284,2.3271938325781796,2.3347662577511086,2.337056323213042,2.3341103051126773,2.3260130705101023,2.312887677867537,2.294895069994601,2.272233788273631,2.245139615151621,2.213885036703935,2.1787784100398486,2.1401627222789257,2.0984138395236336,2.0539381656410285,2.0071696609220306,1.9585662080637347,1.9086053547380937,1.8577795048019432,1.8065906700438334,1.7555449273267891,1.7051467486635312,1.6558933816196015,1.6082694535584272,1.5627419558688849,1.5197557354764526,1.4797295836100288,1.4430529698084624,1.410083426428662,1.3811445492533332,1.356524546131894,1.336475240252437,1.3212114186118067,1.3109104101952465,1.305711781474272
7.5181818181818185,0.0004822994321539431,2.1728894243041457,1.1762671010683055,1.1814660123302565,1.191767650949773,1.207032515936525,1.2270833371082488,1.2517053791160069,1.2806468625046998,1.3136196146850345,7.6334853732482575,1.390330700875129,1.4333220561590299,1.4788553370801238,1.526485682927057,1.5757460786551365,1.6261518639634565,1.6772057499751514,1.7284032161804759,1.779238131463593,8.112393732830803,1.8778216341083607,1.9246001477298125,1.9690860234774101,2.010845243355918,2.049471349826904,2.084588428289696,2.1158534491621244,2.1429580194924656,2.165629624288986,2.1836324591587184,2.1967679675536234,2.204875197902862,2.2078310888395047,2.2055507755895873,2.1979879887267817,2.1851355891925035,2.167026252426635,2.1437332808980014,2.1153714902535583,2.08209808141625,2.044113381496425,2.001661312801384,1.9550294340237102,8.187733700708133,1.8505906435519475,1.7935682876095393,1.7339299713436598,1.6721567782686724,7.8919424599859545,7.827446245911153,1.4792126857110086,1.414164432690777,1.349668218615361,1.28626859315341,1.2244954000822033,1.1648570838162025,1.1078347278708878,7.33706228507425,1.003395937399084,7.239949365800727,0.9143119899247341,7.1595125971855875,0.8430538811672982,0.8146920905232878,0.7913991189937625,0.7732897822282642,0.7604373826943962,0.752874595831551,7.033779589762994,7.0367354806975095,7.044842711046324,7.05797821944127,0.7927957471313172,7.098652659107425,7.1257572294378715,7.1570222503107255,0.9089540215934381,7.230765435245385,0.9893393479432802,1.0338252236913306,7.363789044499117,1.1292169457700283,1.179187239959091,1.2300221552415982,7.564404928627354,7.615458814647656,1.3826792927701552,1.431939688499891,7.762755341527921,1.5251033152700042,7.851279977775827,7.891310612601142,7.92799106393521,7.960963815800803,7.989905299519553,8.01452734151896,8.034578162695173,8.049843027676744,1.7769593591024175,1.7821582703645786
